url_path,views_total,views_unique
/professional-tnt/email-tnt,48,30
/professional-tnt/email-tnt/tree/master,2,1
/professional-tnt/email-tnt/tree/master/gg,2,1
/professional-tnt/email-tnt/tree/master/.github/workflows,2,1
